match_id,season,match_name,home_team,away_team,venue,batting_innings,bowling_innings,Player_name,Starting_11,bowling_team_bowl,batting_team_bat,prev_runs,prev_balls,prev_sixes,prev_fours,prev_wickets,prev_conceded,prev_Overs_Bowled,prev_catches,prev_Dream Team,prev_Total_FP,prev_overs,prev_fielding_heroics,prev_duck,luck,Total_FP
20315,2015,KKR v MI,KKR,MI,"Eden Gardens, Kolkata",2.0,1.0,Umesh Yadav,4.0,KKR,,,,,,1.0,39.0,"[2, 4, 17, 20]",,1.0,29.0,4.0,,0,3,16.0
20316,2015,KKR v CSK,KKR,CSK,"Eden Gardens, Kolkata",2.0,1.0,Umesh Yadav,4.0,KKR,,,,,,0.0,36.0,"[1, 3, 15]",2.0,1.0,16.0,3.0,0.0,0,6,29.0
20317,2015,PBKS v KKR,PBKS,KKR,"Maharashtra Cricket Association Stadium, Pune",2.0,1.0,Umesh Yadav,4.0,KKR,,,,,,1.0,16.0,"[2, 4]",,0.0,29.0,2.0,,0,40,83.0
20318,2015,DC v KKR,DC,KKR,"Arun Jaitley Stadium, Delhi",2.0,1.0,Umesh Yadav,4.0,KKR,,,,,,3.0,33.0,"[1, 3, 12, 18]",,1.0,83.0,4.0,,0,16,68.0
20319,2015,SRH v KKR,SRH,KKR,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2.0,1.0,Umesh Yadav,4.0,KKR,,,,,,2.0,18.0,"[1, 3, 18, 20]",1.0,1.0,68.0,4.0,0.0,0,48,35.0
20320,2015,KKR v DC,KKR,DC,"Eden Gardens, Kolkata",1.0,2.0,Umesh Yadav,4.0,KKR,,,,,,1.0,40.0,"[8, 10, 18, 20]",,1.0,35.0,4.0,,0,62,12.0
20321,2015,CSK v KKR,CSK,KKR,"MA Chidambaram Stadium, Chepauk, Chennai",2.0,1.0,Umesh Yadav,4.0,KKR,KKR,,,,,0.0,29.0,"[1, 3, 18, 20]",1.0,0.0,12.0,4.0,0.0,0,65,4.0
20322,2015,RCB v KKR,RCB,KKR,"M.Chinnaswamy Stadium, Bengaluru",1.0,2.0,Umesh Yadav,4.0,KKR,,0.0,1.0,0.0,0.0,0.0,36.0,"[2, 4, 6, 20]",,0.0,4.0,4.0,,1,93,-2.0
20323,2015,KKR v SRH,KKR,SRH,"Eden Gardens, Kolkata",1.0,2.0,Umesh Yadav,4.0,KKR,,,,,,0.0,31.0,"[2, 9]",,0.0,-2.0,2.0,,0,36,78.0
20324,2015,KKR v PBKS,KKR,PBKS,"Eden Gardens, Kolkata",2.0,1.0,Umesh Yadav,4.0,KKR,KKR,,,,,2.0,34.0,"[1, 3, 13, 19]",1.0,1.0,78.0,4.0,0.0,0,15,4.0
20325,2015,MI v KKR,MI,KKR,"Wankhede Stadium, Mumbai",2.0,1.0,Umesh Yadav,4.0,KKR,KKR,0.0,0.0,0.0,0.0,0.0,36.0,"[1, 3, 16, 19]",,0.0,4.0,4.0,,1,12,4.0
20326,2015,RR v KKR,RR,KKR,"Brabourne Stadium, Mumbai",2.0,1.0,Umesh Yadav,4.0,KKR,KKR,5.0,2.0,0.0,1.0,0.0,37.0,"[1, 17, 20]",,0.0,4.0,3.0,,0,2,65.0
20327,2016,KKR v DC,KKR,DC,"Eden Gardens, Kolkata",2.0,1.0,Umesh Yadav,4.0,KKR,,24.0,11.0,1.0,4.0,1.0,36.0,"[3, 5, 18, 20]",,1.0,65.0,4.0,,0,33,6.0
20328,2016,SRH v KKR,SRH,KKR,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2.0,1.0,Umesh Yadav,4.0,KKR,,,,,,0.0,21.0,"[2, 7, 9]",,0.0,6.0,3.0,,0,15,101.0
20329,2016,PBKS v KKR,PBKS,KKR,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2.0,1.0,Umesh Yadav,4.0,KKR,,,,,,3.0,28.0,"[2, 4, 6, 19]",1.0,1.0,101.0,4.0,0.0,0,73,33.0
20330,2016,RPS v KKR,RPS,KKR,"Maharashtra Cricket Association Stadium, Pune",2.0,1.0,Umesh Yadav,4.0,KKR,KKR,,,,,1.0,17.0,"[2, 17, 19]",,1.0,33.0,3.0,,0,24,46.0
20332,2016,DC v KKR,DC,KKR,"Arun Jaitley Stadium, Delhi",2.0,1.0,Umesh Yadav,4.0,KKR,KKR,,,,,1.0,19.0,"[2, 4]",,0.0,29.0,2.0,,0,3,107.0
